id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;laju_pertumbuhan_penduduk;satuan;tahun
55;32;JAWA BARAT;3201;KABUPATEN BOGOR;2,41;PERSEN;2019
56;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;0,5;PERSEN;2019
57;32;JAWA BARAT;3203;KABUPATEN CIANJUR;0,38;PERSEN;2019
58;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1,84;PERSEN;2019
59;32;JAWA BARAT;3205;KABUPATEN GARUT;0,89;PERSEN;2019
60;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;0,43;PERSEN;2019
61;32;JAWA BARAT;3207;KABUPATEN CIAMIS;0,57;PERSEN;2019
62;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;0,6;PERSEN;2019
63;32;JAWA BARAT;3209;KABUPATEN CIREBON;0,78;PERSEN;2019
64;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;0,49;PERSEN;2019
65;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0,5;PERSEN;2019
66;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;0,55;PERSEN;2019
67;32;JAWA BARAT;3213;KABUPATEN SUBANG;1,08;PERSEN;2019
68;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1,27;PERSEN;2019
69;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1,04;PERSEN;2019
70;32;JAWA BARAT;3216;KABUPATEN BEKASI;3,95;PERSEN;2019
71;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1,24;PERSEN;2019
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;0,57;PERSEN;2019
73;32;JAWA BARAT;3271;KOTA BOGOR;1,67;PERSEN;2019
74;32;JAWA BARAT;3272;KOTA SUKABUMI;0,98;PERSEN;2019
75;32;JAWA BARAT;3273;KOTA BANDUNG;0,43;PERSEN;2019
76;32;JAWA BARAT;3274;KOTA CIREBON;0,95;PERSEN;2019
77;32;JAWA BARAT;3275;KOTA BEKASI;2,74;PERSEN;2019
78;32;JAWA BARAT;3276;KOTA DEPOK;3,57;PERSEN;2019
79;32;JAWA BARAT;3277;KOTA CIMAHI;1,33;PERSEN;2019
80;32;JAWA BARAT;3278;KOTA TASIKMALAYA;0,4;PERSEN;2019
81;32;JAWA BARAT;3279;KOTA BANJAR;0,41;PERSEN;2019
82;32;JAWA BARAT;3201;KABUPATEN BOGOR;1,25;PERSEN;2020
83;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1,48;PERSEN;2020
84;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1,29;PERSEN;2020
85;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1,28;PERSEN;2020
86;32;JAWA BARAT;3205;KABUPATEN GARUT;0,71;PERSEN;2020
87;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1,04;PERSEN;2020
88;32;JAWA BARAT;3207;KABUPATEN CIAMIS;0,66;PERSEN;2020
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1,17;PERSEN;2020
90;32;JAWA BARAT;3209;KABUPATEN CIREBON;0,91;PERSEN;2020
91;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1,1;PERSEN;2020
92;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0,51;PERSEN;2020
93;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;0,95;PERSEN;2020
94;32;JAWA BARAT;3213;KABUPATEN SUBANG;0,83;PERSEN;2020
95;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1,54;PERSEN;2020
96;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1,33;PERSEN;2020
97;32;JAWA BARAT;3216;KABUPATEN BEKASI;1,64;PERSEN;2020
98;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1,65;PERSEN;2020
99;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;0,96;PERSEN;2020
100;32;JAWA BARAT;3271;KOTA BOGOR;0,91;PERSEN;2020
101;32;JAWA BARAT;3272;KOTA SUKABUMI;1,44;PERSEN;2020
102;32;JAWA BARAT;3273;KOTA BANDUNG;0,2;PERSEN;2020
103;32;JAWA BARAT;3274;KOTA CIREBON;1,14;PERSEN;2020
104;32;JAWA BARAT;3275;KOTA BEKASI;0,83;PERSEN;2020
105;32;JAWA BARAT;3276;KOTA DEPOK;1,64;PERSEN;2020
106;32;JAWA BARAT;3277;KOTA CIMAHI;0,48;PERSEN;2020
107;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1,16;PERSEN;2020
108;32;JAWA BARAT;3279;KOTA BANJAR;1,34;PERSEN;2020
109;32;JAWA BARAT;3201;KABUPATEN BOGOR;1,54;PERSEN;2021
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1,77;PERSEN;2021
111;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1,57;PERSEN;2021
112;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1,56;PERSEN;2021
113;32;JAWA BARAT;3205;KABUPATEN GARUT;0,99;PERSEN;2021
114;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1,33;PERSEN;2021
115;32;JAWA BARAT;3207;KABUPATEN CIAMIS;0,94;PERSEN;2021
116;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1,45;PERSEN;2021
117;32;JAWA BARAT;3209;KABUPATEN CIREBON;1,2;PERSEN;2021
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1,38;PERSEN;2021
119;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0,79;PERSEN;2021
120;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1,23;PERSEN;2021
121;32;JAWA BARAT;3213;KABUPATEN SUBANG;1,11;PERSEN;2021
122;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1,82;PERSEN;2021
123;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1,62;PERSEN;2021
124;32;JAWA BARAT;3216;KABUPATEN BEKASI;1,93;PERSEN;2021
125;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1,93;PERSEN;2021
126;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1,24;PERSEN;2021
127;32;JAWA BARAT;3271;KOTA BOGOR;1,19;PERSEN;2021
128;32;JAWA BARAT;3272;KOTA SUKABUMI;1,73;PERSEN;2021
129;32;JAWA BARAT;3273;KOTA BANDUNG;0,48;PERSEN;2021
130;32;JAWA BARAT;3274;KOTA CIREBON;1,43;PERSEN;2021
131;32;JAWA BARAT;3275;KOTA BEKASI;1,12;PERSEN;2021
132;32;JAWA BARAT;3276;KOTA DEPOK;1,92;PERSEN;2021
133;32;JAWA BARAT;3277;KOTA CIMAHI;0,76;PERSEN;2021
134;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1,45;PERSEN;2021
135;32;JAWA BARAT;3279;KOTA BANJAR;1,62;PERSEN;2021
136;32;JAWA BARAT;3201;KABUPATEN BOGOR;1,46;PERSEN;2022
137;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;1,69;PERSEN;2022
138;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1,5;PERSEN;2022
139;32;JAWA BARAT;3204;KABUPATEN BANDUNG;1,49;PERSEN;2022
140;32;JAWA BARAT;3205;KABUPATEN GARUT;0,92;PERSEN;2022
141;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1,25;PERSEN;2022
142;32;JAWA BARAT;3207;KABUPATEN CIAMIS;0,87;PERSEN;2022
143;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1,38;PERSEN;2022
144;32;JAWA BARAT;3209;KABUPATEN CIREBON;1,12;PERSEN;2022
145;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1,31;PERSEN;2022
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0,72;PERSEN;2022
147;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1,16;PERSEN;2022
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;1,04;PERSEN;2022
149;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1,75;PERSEN;2022
150;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1,54;PERSEN;2022
151;32;JAWA BARAT;3216;KABUPATEN BEKASI;1,86;PERSEN;2022
152;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1,86;PERSEN;2022
153;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1,17;PERSEN;2022
154;32;JAWA BARAT;3271;KOTA BOGOR;1,12;PERSEN;2022
155;32;JAWA BARAT;3272;KOTA SUKABUMI;1,65;PERSEN;2022
156;32;JAWA BARAT;3273;KOTA BANDUNG;0,41;PERSEN;2022
157;32;JAWA BARAT;3274;KOTA CIREBON;1,35;PERSEN;2022
158;32;JAWA BARAT;3275;KOTA BEKASI;1,04;PERSEN;2022
159;32;JAWA BARAT;3276;KOTA DEPOK;1,85;PERSEN;2022
160;32;JAWA BARAT;3277;KOTA CIMAHI;0,69;PERSEN;2022
161;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1,37;PERSEN;2022
162;32;JAWA BARAT;3279;KOTA BANJAR;1,55;PERSEN;2022
163;32;JAWA BARAT;3201;KABUPATEN BOGOR;1,27;PERSEN;2023
164;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;0,98;PERSEN;2023
165;32;JAWA BARAT;3203;KABUPATEN CIANJUR;1,12;PERSEN;2023
166;32;JAWA BARAT;3204;KABUPATEN BANDUNG;0,92;PERSEN;2023
167;32;JAWA BARAT;3205;KABUPATEN GARUT;1,31;PERSEN;2023
168;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;0,78;PERSEN;2023
169;32;JAWA BARAT;3207;KABUPATEN CIAMIS;0,66;PERSEN;2023
170;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1,07;PERSEN;2023
171;32;JAWA BARAT;3209;KABUPATEN CIREBON;1,25;PERSEN;2023
172;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;0,95;PERSEN;2023
173;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;0,8;PERSEN;2023
174;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1,12;PERSEN;2023
175;32;JAWA BARAT;3213;KABUPATEN SUBANG;0,87;PERSEN;2023
176;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1,36;PERSEN;2023
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;1,19;PERSEN;2023
178;32;JAWA BARAT;3216;KABUPATEN BEKASI;1,36;PERSEN;2023
179;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1,39;PERSEN;2023
180;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;0,67;PERSEN;2023
181;32;JAWA BARAT;3271;KOTA BOGOR;0,92;PERSEN;2023
182;32;JAWA BARAT;3272;KOTA SUKABUMI;1,47;PERSEN;2023
183;32;JAWA BARAT;3273;KOTA BANDUNG;0,9;PERSEN;2023
184;32;JAWA BARAT;3274;KOTA CIREBON;0,9;PERSEN;2023
185;32;JAWA BARAT;3275;KOTA BEKASI;1,12;PERSEN;2023
186;32;JAWA BARAT;3276;KOTA DEPOK;1,5;PERSEN;2023
187;32;JAWA BARAT;3277;KOTA CIMAHI;1,4;PERSEN;2023
188;32;JAWA BARAT;3278;KOTA TASIKMALAYA;1,27;PERSEN;2023
189;32;JAWA BARAT;3279;KOTA BANJAR;1,16;PERSEN;2023
